"id","name_full","name_sortable","is_dead","when_born","when_died","org_acronym"
"18764","Amundamon","Amundamon","0",,,"100L"
"18779","Arturo Mardalis","Arturo Mardalis","0",,,"100L"
"18716","Baboson","Baboson","0",,,"100L"
"18717","Balut Cuniescu","Balut Cuniescu","0",,,"100L"
"18747","Beto Segovia","Beto Segovia","0",,,"100L"
"18756","Brian Sanchez","Brian Sanchez","0",,,"100L"
"18718","Burro Santillana","Burro Santillana","0",,,"100L"
"18719","Cara de Mascara","Cara de Mascara","0",,,"100L"
"18749","Chucho Baigorria","Chucho Baigorria","0",,,"100L"
"18754","Chulo","Chulo","0",,,"100L"
"18743","Delivery Boy","Delivery Boy","0",,,"100L"
"18854","Dick Sato","Dick Sato","0",,,"100L"
"18746","Dimitri Kazov","Dimitri Kazov","0",,,"100L"
"18720","Dorival Santos","Dorival Santos","0",,,"100L"
"18721","Dr. Calambre","Dr. Calambre","0",,,"100L"
"18722","El Primo","El Primo","0",,,"100L"
"18723","Fabrizzio Delmonico","Fabrizzio Delmonico","0",,,"100L"
"18750","Felino","Felino","0",,,"100L"
"18726","Fiscal Brunetti","Fiscal Brunetti","0",,,"100L"
"18775","Fulgencio Mejia","Fulgencio Mejia","0",,,"100L"
"18727","Gorutta Jones","Gorutta Jones","0",,,"100L"
"18728","Hip Hop Man","Hip Hop Man","0",,,"100L"
"18729","Huevo Gutierrez","Huevo Gutierrez","0",,,"100L"
"18752","Johny Wave","Johny Wave","0",,,"100L"
"18730","Jorge Torresi","Jorge Torresi","0",,,"100L"
"18777","Karnak Chain","Karnak Chain","0",,,"100L"
"18780","Khumo","Khumo","0",,,"100L"
"18731","La Masa","La Masa","0",,,"100L"
"18751","Manolo Murrieta","Manolo Murrieta","0",,,"100L"
"18773","Mario Moran","Mario Moran","0",,,"100L"
"18742","Mc Floyd","Mc Floyd","0",,,"100L"
"18774","Megabyte Fighter","Megabyte Fighter","0",,,"100L"
"19092","Milo Platao","Milo Platao","0",,,"100L"
"18770","Molok","Molok","0",,,"100L"
"18732","Mosca","Mosca","0",,,"100L"
"18733","Mugre","Mugre","0",,,"100L"
"18734","Musambe Tutu","Musambe Tutu","0",,,"100L"
"18755","Nube Oscura","Nube Oscura","0",,,"100L"
"18735","Ofidius","Ofidius","0",,,"100L"
"18736","Ricky Dragone","Ricky Dragone","0",,,"100L"
"18748","Ron Doxon","Ron Doxon","0",,,"100L"
"18737","Rotwailer","Rotwailer","0",,,"100L"
"18783","Ruben Peucelle","Ruben Peucelle","0",,,"100L"
"18753","Rulo Verde","Rulo Verde","0",,,"100L"
"18761","Shuto Omori","Shuto Omori","0",,,"100L"
"18738","Sir Peter Lawrence","Sir Peter Lawrence","0",,,"100L"
"18739","Sodrak","Sodrak","0",,,"100L"
"18866","Suplente Mascarado","Suplente Mascarado","0",,,"100L"
"18744","Teniente Murphy","Teniente Murphy","0",,,"100L"
"18740","Tito Moran","Tito Moran","0",,,"100L"
"18745","Torticolis","Torticolis","0",,,"100L"
"18758","Utur Habbibi","Utur Habbibi","0",,,"100L"
"18741","Vicente Viloni","Vicente Viloni","0",,,"100L"
"18768","Zamor","Zamor","0",,,"100L"
"44268","2 Cold Scorpio","2 Cold Scorpio","0",,,"1PW"
"44269","Aaron James","Aaron James","0",,,"1PW"
"44270","Abyss","Abyss","0",,,"1PW"
"53816","Ace Austin","Ace Austin","0",,,"1PW"
"53828","Ace Matthews","Ace Matthews","0",,,"1PW"
"44271","Adam Curtis","Adam Curtis","0",,,"1PW"
"44272","Adam Steel","Adam Steel","0",,,"1PW"
"44273","AJ Styles","AJ Styles","0",,,"1PW"
"44274","Al Snow","Al Snow","0",,,"1PW"
"53818","Alex Hammerstone","Alex Hammerstone","0",,,"1PW"
"53827","Amir Jordan","Amir Jordan","0",,,"1PW"
"44275","Andy Boy Simmonz","Andy Boy Simmonz","0",,,"1PW"
"44276","Austin Aries","Austin Aries","0",,,"1PW"
"44281","Blayze Bentley","Blayze Bentley","0",,,"1PW"
"44282","The Blue Meanie","Blue Meanie","0",,,"1PW"
"44283","Brad Flash","Brad Flash","0",,,"1PW"
"44286","Bret Hart","Bret Hart","0",,,"1PW"
"44287","Brett Valentine","Brett Valentine","0",,,"1PW"
"44289","Bryan Danielson","Bryan Danielson","0",,,"1PW"
"44290","Bubblegum","Bubblegum","0",,,"1PW"
"53824","Callum Newman","Callum Newman","0",,,"1PW"
"44292","Captain Caveman","Captain Caveman","0",,,"1PW"
"53831","Cara Noir","Cara Noir","0",,,"1PW"
"44291","Chad Collyer","Chad Collyer","0",,,"1PW"
"56309","Charles Crowley","Charles Crowley","0",,,"1PW"
"44293","Charlie Haas","Charlie Haas","0",,,"1PW"
"44294","Charlie Rage","Charlie Rage","0",,,"1PW"
"44295","Charlie Rage (Exit)","Charlie Rage (Exit)","0",,,"1PW"
"44297","Chris Hamrick","Chris Hamrick","0",,,"1PW"
"44298","Chris Hero","Chris Hero","0",,,"1PW"
"44300","Chris The Bambikiller","Chris The Bambikiller","0",,,"1PW"
"44301","Christian Cage","Christian Cage","0",,,"1PW"
"44302","Christopher Daniels","Christopher Daniels","0",,,"1PW"
"44303","CJ Banks","CJ Banks","0",,,"1PW"
"44304","Colt Cabana","Colt Cabana","0",,,"1PW"
"44305","D'Lo Brown","D'Lo Brown","0",,,"1PW"
"44306","The Damned Nation","Damned Nation","0",,,"1PW"
"44311","Dan Head","Dan Head","0",,,"1PW"
"44312","Danny Hope","Danny Hope","0",,,"1PW"
"44313","Darkside","Darkside","0",,,"1PW"
"44314","Darren Burridge","Darren Burridge","0",,,"1PW"
"44315","Dave Moralez","Dave Moralez","0",,,"1PW"
"44316","Davey Richards","Davey Richards","0",,,"1PW"
"44317","Dean Ayass","Dean Ayass","0",,,"1PW"
"44318","Delirious","Delirious","0",,,"1PW"
"44319","Donny Bull","Donny Bull","0",,,"1PW"
